e_v,start_time,resource,track_id,event_name,finish_time,node1,node2
e,,,173751,O_SENT_BACK__W_Validerenaanvraag,,17,18
e,,,173751,W_Validerenaanvraag__W_Nabellenoffertes,,18,19
e,,,173751,W_Nabellenoffertes__W_Validerenaanvraag,,19,20
,,,,,,,
XP,,,,,,,
v,2011-10-0114:50:08.000000000+00:00,No_resource,173754,START,2011-10-0114:50:08.000000000+00:00,1,
v,2011-10-0114:50:08.000000000+00:00,112,173754,A_SUBMITTED,2011-10-0114:50:09.000000000+00:00,2,
v,2011-10-0114:50:09.000000000+00:00,112,173754,A_PARTLYSUBMITTED,2011-10-0114:50:11.000000000+00:00,3,
v,2011-10-0114:50:11.000000000+00:00,112,173754,A_PREACCEPTED,2011-10-0114:50:51.000000000+00:00,4,
v,2011-10-0114:50:51.000000000+00:00,112,173754,W_Completerenaanvraag,2011-10-0114:50:51.000000000+00:00,5,
v,2011-10-0114:50:51.000000000+00:00,11000,173754,W_Completerenaanvraag,2011-10-0115:34:08.000000000+00:00,6,
v,2011-10-0115:34:08.000000000+00:00,11000,173754,W_Completerenaanvraag,2011-10-0115:44:41.000000000+00:00,7,
v,2011-10-0115:44:41.000000000+00:00,10939,173754,W_Completerenaanvraag,2011-10-0115:57:20.000000000+00:00,8,
v,2011-10-0115:57:20.000000000+00:00,10939,173754,W_Completerenaanvraag,2011-10-0116:00:04.000000000+00:00,9,
v,2011-10-0116:00:04.000000000+00:00,11180,173754,W_Completerenaanvraag,2011-10-0312:56:25.000000000+00:00,10,
v,2011-10-0312:56:25.000000000+00:00,11180,173754,W_Completerenaanvraag,2011-10-0312:57:19.000000000+00:00,11,
v,2011-10-0312:57:19.000000000+00:00,No_resource,173754,W_Completerenaanvraag,2011-10-0409:26:08.000000000+00:00,12,
v,2011-10-0409:26:08.000000000+00:00,No_resource,173754,W_Completerenaanvraag,2011-10-0409:28:25.000000000+00:00,13,
v,2011-10-0409:28:25.000000000+00:00,11001,173754,W_Completerenaanvraag,2011-10-0413:19:33.000000000+00:00,14,
v,2011-10-0413:19:33.000000000+00:00,11001,173754,W_Completerenaanvraag,2011-10-0413:23:24.000000000+00:00,15,
v,2011-10-0413:23:24.000000000+00:00,11179,173754,W_Completerenaanvraag,2011-10-0417:56:08.000000000+00:00,16,
v,2011-10-0417:56:08.000000000+00:00,11179,173754,W_Completerenaanvraag,2011-10-0417:57:28.000000000+00:00,17,
v,2011-10-0417:57:28.000000000+00:00,11180,173754,W_Completerenaanvraag,2011-10-0509:51:21.000000000+00:00,18,
v,2011-10-0509:51:21.000000000+00:00,11180,173754,W_Completerenaanvraag,2011-10-0509:52:18.000000000+00:00,19,
v,2011-10-0509:52:18.000000000+00:00,No_resource,173754,W_Completerenaanvraag,2011-10-0513:51:17.000000000+00:00,20,
e,,,173754,START__A_SUBMITTED,,1,2
e,,,173754,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
e,,,173754,A_PARTLYSUBMITTED__A_PREACCEPTED,,3,4
e,,,173754,A_PREACCEPTED__W_Completerenaanvraag,,4,5
e,,,173754,W_Completerenaanvraag__W_Completerenaanvraag,,5,6
e,,,173754,W_Completerenaanvraag__W_Completerenaanvraag,,6,7
e,,,173754,W_Completerenaanvraag__W_Completerenaanvraag,,7,8
e,,,173754,W_Completerenaanvraag__W_Completerenaanvraag,,8,9
e,,,173754,W_Completerenaanvraag__W_Completerenaanvraag,,9,10
e,,,173754,W_Completerenaanvraag__W_Completerenaanvraag,,10,11
e,,,173754,W_Completerenaanvraag__W_Completerenaanvraag,,11,12
e,,,173754,W_Completerenaanvraag__W_Completerenaanvraag,,12,13
e,,,173754,W_Completerenaanvraag__W_Completerenaanvraag,,13,14
e,,,173754,W_Completerenaanvraag__W_Completerenaanvraag,,14,15
e,,,173754,W_Completerenaanvraag__W_Completerenaanvraag,,15,16
e,,,173754,W_Completerenaanvraag__W_Completerenaanvraag,,16,17
e,,,173754,W_Completerenaanvraag__W_Completerenaanvraag,,17,18
e,,,173754,W_Completerenaanvraag__W_Completerenaanvraag,,18,19
e,,,173754,W_Completerenaanvraag__W_Completerenaanvraag,,19,20
,,,,,,,
XP,,,,,,,
v,2011-10-0115:15:16.000000000+00:00,No_resource,173760,START,2011-10-0115:15:16.000000000+00:00,1,
v,2011-10-0115:15:16.000000000+00:00,112,173760,A_SUBMITTED,2011-10-0115:15:17.000000000+00:00,2,
v,2011-10-0115:15:17.000000000+00:00,112,173760,A_PARTLYSUBMITTED,2011-10-0115:15:17.000000000+00:00,3,
v,2011-10-0115:15:17.000000000+00:00,112,173760,A_PREACCEPTED,2011-10-0115:15:57.000000000+00:00,4,
v,2011-10-0115:15:57.000000000+00:00,112,173760,W_Completerenaanvraag,2011-10-0115:15:57.000000000+00:00,5,
v,2011-10-0115:15:57.000000000+00:00,11019,173760,W_Completerenaanvraag,2011-10-0115:49:25.000000000+00:00,6,
v,2011-10-0115:49:25.000000000+00:00,11019,173760,A_ACCEPTED,2011-10-0115:56:34.000000000+00:00,7,
v,2011-10-0115:56:34.000000000+00:00,11019,173760,A_FINALIZED,2011-10-0116:01:43.000000000+00:00,8,
v,2011-10-0115:56:34.000000000+00:00,11019,173760,O_SELECTED,2011-10-0116:01:43.000000000+00:00,9,
v,2011-10-0116:01:43.000000000+00:00,11019,173760,O_CREATED,2011-10-0116:01:44.000000000+00:00,10,
v,2011-10-0116:01:44.000000000+00:00,11019,173760,O_SENT,2011-10-0116:01:44.000000000+00:00,11,
v,2011-10-0116:01:44.000000000+00:00,11019,173760,W_Nabellenoffertes,2011-10-0116:01:44.000000000+00:00,12,
v,2011-10-0116:01:44.000000000+00:00,11019,173760,W_Completerenaanvraag,2011-10-0116:01:45.000000000+00:00,13,
v,2011-10-0116:01:45.000000000+00:00,No_resource,173760,W_Nabellenoffertes,2011-10-0812:32:54.000000000+00:00,14,
v,2011-10-0812:32:54.000000000+00:00,No_resource,173760,W_Nabellenoffertes,2011-10-0812:34:58.000000000+00:00,15,
v,2011-10-0812:34:58.000000000+00:00,11119,173760,W_Nabellenoffertes,2011-10-1019:51:46.000000000+00:00,16,
v,2011-10-1019:51:46.000000000+00:00,11119,173760,W_Nabellenoffertes,2011-10-1019:52:09.000000000+00:00,17,
v,2011-10-1019:52:09.000000000+00:00,11049,173760,W_Nabellenoffertes,2011-10-1110:58:47.000000000+00:00,18,
v,2011-10-1110:58:47.000000000+00:00,11049,173760,O_SENT_BACK,2011-10-1111:01:37.000000000+00:00,19,
v,2011-10-1111:01:37.000000000+00:00,11049,173760,W_Validerenaanvraag,2011-10-1111:01:37.000000000+00:00,20,
e,,,173760,START__A_SUBMITTED,,1,2
e,,,173760,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
e,,,173760,A_PARTLYSUBMITTED__A_PREACCEPTED,,3,4
e,,,173760,A_PREACCEPTED__W_Completerenaanvraag,,4,5
e,,,173760,W_Completerenaanvraag__W_Completerenaanvraag,,5,6
e,,,173760,W_Completerenaanvraag__A_ACCEPTED,,6,7
e,,,173760,A_ACCEPTED__A_FINALIZED,,7,8
e,,,173760,A_ACCEPTED__O_SELECTED,,7,9
e,,,173760,A_FINALIZED__O_CREATED,,8,10
e,,,173760,O_SELECTED__O_CREATED,,9,10
e,,,173760,O_CREATED__O_SENT,,10,11
e,,,173760,O_SENT__W_Nabellenoffertes,,11,12
e,,,173760,W_Nabellenoffertes__W_Completerenaanvraag,,12,13
e,,,173760,W_Completerenaanvraag__W_Nabellenoffertes,,13,14
e,,,173760,W_Nabellenoffertes__W_Nabellenoffertes,,14,15
e,,,173760,W_Nabellenoffertes__W_Nabellenoffertes,,15,16
e,,,173760,W_Nabellenoffertes__W_Nabellenoffertes,,16,17
e,,,173760,W_Nabellenoffertes__W_Nabellenoffertes,,17,18
e,,,173760,W_Nabellenoffertes__O_SENT_BACK,,18,19
e,,,173760,O_SENT_BACK__W_Validerenaanvraag,,19,20
,,,,,,,
XP,,,,,,,
v,2011-10-0116:12:01.000000000+00:00,No_resource,173766,START,2011-10-0116:12:01.000000000+00:00,1,
v,2011-10-0116:12:01.000000000+00:00,112,173766,A_SUBMITTED,2011-10-0116:12:02.000000000+00:00,2,
v,2011-10-0116:12:02.000000000+00:00,112,173766,A_PARTLYSUBMITTED,2011-10-0116:12:02.000000000+00:00,3,
v,2011-10-0116:12:02.000000000+00:00,112,173766,A_PREACCEPTED,2011-10-0116:12:45.000000000+00:00,4,
v,2011-10-0116:12:45.000000000+00:00,112,173766,W_Completerenaanvraag,2011-10-0116:12:45.000000000+00:00,5,
v,2011-10-0116:12:45.000000000+00:00,11019,173766,W_Completerenaanvraag,2011-10-0116:21:09.000000000+00:00,6,
v,2011-10-0116:21:09.000000000+00:00,11019,173766,W_Completerenaanvraag,2011-10-0116:45:56.000000000+00:00,7,
v,2011-10-0116:45:56.000000000+00:00,11203,173766,W_Completerenaanvraag,2011-10-0116:46:57.000000000+00:00,8,
v,2011-10-0116:46:57.000000000+00:00,11203,173766,W_Completerenaanvraag,2011-10-0116:48:23.000000000+00:00,9,
v,2011-10-0116:48:23.000000000+00:00,11180,173766,W_Completerenaanvraag,2011-10-0313:46:24.000000000+00:00,10,
v,2011-10-0313:46:24.000000000+00:00,11180,173766,W_Completerenaanvraag,2011-10-0313:48:25.000000000+00:00,11,
v,2011-10-0313:48:25.000000000+00:00,No_resource,173766,W_Completerenaanvraag,2011-10-0409:32:04.000000000+00:00,12,
v,2011-10-0409:32:04.000000000+00:00,No_resource,173766,W_Completerenaanvraag,2011-10-0409:34:40.000000000+00:00,13,
v,2011-10-0409:34:40.000000000+00:00,11169,173766,W_Completerenaanvraag,2011-10-0413:01:52.000000000+00:00,14,
v,2011-10-0413:01:52.000000000+00:00,11169,173766,W_Completerenaanvraag,2011-10-0413:11:09.000000000+00:00,15,
v,2011-10-0413:11:09.000000000+00:00,11122,173766,W_Completerenaanvraag,2011-10-0417:12:49.000000000+00:00,16,
v,2011-10-0417:12:49.000000000+00:00,11122,173766,W_Completerenaanvraag,2011-10-0417:17:33.000000000+00:00,17,
v,2011-10-0417:17:33.000000000+00:00,11180,173766,W_Completerenaanvraag,2011-10-0509:19:46.000000000+00:00,18,
v,2011-10-0509:19:46.000000000+00:00,11180,173766,W_Completerenaanvraag,2011-10-0509:20:40.000000000+00:00,19,
v,2011-10-0509:20:40.000000000+00:00,No_resource,173766,W_Completerenaanvraag,2011-10-0510:42:42.000000000+00:00,20,
e,,,173766,START__A_SUBMITTED,,1,2
e,,,173766,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
e,,,173766,A_PARTLYSUBMITTED__A_PREACCEPTED,,3,4
e,,,173766,A_PREACCEPTED__W_Completerenaanvraag,,4,5
e,,,173766,W_Completerenaanvraag__W_Completerenaanvraag,,5,6
e,,,173766,W_Completerenaanvraag__W_Completerenaanvraag,,6,7
e,,,173766,W_Completerenaanvraag__W_Completerenaanvraag,,7,8
e,,,173766,W_Completerenaanvraag__W_Completerenaanvraag,,8,9
e,,,173766,W_Completerenaanvraag__W_Completerenaanvraag,,9,10
e,,,173766,W_Completerenaanvraag__W_Completerenaanvraag,,10,11
e,,,173766,W_Completerenaanvraag__W_Completerenaanvraag,,11,12
e,,,173766,W_Completerenaanvraag__W_Completerenaanvraag,,12,13
e,,,173766,W_Completerenaanvraag__W_Completerenaanvraag,,13,14
e,,,173766,W_Completerenaanvraag__W_Completerenaanvraag,,14,15
e,,,173766,W_Completerenaanvraag__W_Completerenaanvraag,,15,16
e,,,173766,W_Completerenaanvraag__W_Completerenaanvraag,,16,17
e,,,173766,W_Completerenaanvraag__W_Completerenaanvraag,,17,18
e,,,173766,W_Completerenaanvraag__W_Completerenaanvraag,,18,19
e,,,173766,W_Completerenaanvraag__W_Completerenaanvraag,,19,20
,,,,,,,
XP,,,,,,,
v,2011-10-0109:59:09.000000000+00:00,No_resource,173715,START,2011-10-0109:59:09.000000000+00:00,1,
v,2011-10-0109:59:09.000000000+00:00,112,173715,A_SUBMITTED,2011-10-0109:59:10.000000000+00:00,2,
v,2011-10-0109:59:10.000000000+00:00,112,173715,A_PARTLYSUBMITTED,2011-10-0109:59:10.000000000+00:00,3,
v,2011-10-0109:59:10.000000000+00:00,112,173715,A_PREACCEPTED,2011-10-0109:59:42.000000000+00:00,4,
v,2011-10-0109:59:42.000000000+00:00,112,173715,W_Completerenaanvraag,2011-10-0109:59:43.000000000+00:00,5,
v,2011-10-0109:59:43.000000000+00:00,No_resource,173715,W_Completerenaanvraag,2011-10-0111:44:00.000000000+00:00,6,
v,2011-10-0111:44:00.000000000+00:00,No_resource,173715,W_Completerenaanvraag,2011-10-0111:46:06.000000000+00:00,7,
v,2011-10-0111:46:06.000000000+00:00,10912,173715,W_Completerenaanvraag,2011-10-0112:18:51.000000000+00:00,8,
v,2011-10-0112:18:51.000000000+00:00,10912,173715,A_ACCEPTED,2011-10-0112:24:32.000000000+00:00,9,
v,2011-10-0112:24:32.000000000+00:00,10912,173715,O_SELECTED,2011-10-0112:30:20.000000000+00:00,10,
v,2011-10-0112:24:32.000000000+00:00,10912,173715,A_FINALIZED,2011-10-0112:30:20.000000000+00:00,11,
v,2011-10-0112:30:20.000000000+00:00,10912,173715,O_CREATED,2011-10-0112:30:21.000000000+00:00,12,
v,2011-10-0112:30:21.000000000+00:00,10912,173715,O_SENT,2011-10-0112:30:21.000000000+00:00,13,
v,2011-10-0112:30:21.000000000+00:00,10912,173715,W_Nabellenoffertes,2011-10-0112:30:21.000000000+00:00,14,
v,2011-10-0112:30:21.000000000+00:00,10912,173715,W_Completerenaanvraag,2011-10-0112:30:24.000000000+00:00,15,
v,2011-10-0112:30:24.000000000+00:00,10913,173715,W_Nabellenoffertes,2011-10-0816:35:18.000000000+00:00,16,
v,2011-10-0816:35:18.000000000+00:00,10913,173715,W_Nabellenoffertes,2011-10-0816:38:17.000000000+00:00,17,
v,2011-10-0816:38:17.000000000+00:00,10899,173715,W_Nabellenoffertes,2011-10-1012:53:54.000000000+00:00,18,
v,2011-10-1012:53:54.000000000+00:00,10899,173715,O_SENT_BACK,2011-10-1012:54:03.000000000+00:00,19,
v,2011-10-1012:54:03.000000000+00:00,10899,173715,W_Validerenaanvraag,2011-10-1012:54:03.000000000+00:00,20,
v,2011-10-1012:54:03.000000000+00:00,10899,173715,W_Nabellenoffertes,2011-10-1012:54:04.000000000+00:00,21,
e,,,173715,START__A_SUBMITTED,,1,2
e,,,173715,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
e,,,173715,A_PARTLYSUBMITTED__A_PREACCEPTED,,3,4
e,,,173715,A_PREACCEPTED__W_Completerenaanvraag,,4,5
e,,,173715,W_Completerenaanvraag__W_Completerenaanvraag,,5,6
e,,,173715,W_Completerenaanvraag__W_Completerenaanvraag,,6,7
e,,,173715,W_Completerenaanvraag__W_Completerenaanvraag,,7,8
e,,,173715,W_Completerenaanvraag__A_ACCEPTED,,8,9
e,,,173715,A_ACCEPTED__O_SELECTED,,9,10
e,,,173715,A_ACCEPTED__A_FINALIZED,,9,11
e,,,173715,O_SELECTED__O_CREATED,,10,12
e,,,173715,A_FINALIZED__O_CREATED,,11,12
e,,,173715,O_CREATED__O_SENT,,12,13
e,,,173715,O_SENT__W_Nabellenoffertes,,13,14
e,,,173715,W_Nabellenoffertes__W_Completerenaanvraag,,14,15
e,,,173715,W_Completerenaanvraag__W_Nabellenoffertes,,15,16
e,,,173715,W_Nabellenoffertes__W_Nabellenoffertes,,16,17
e,,,173715,W_Nabellenoffertes__W_Nabellenoffertes,,17,18
e,,,173715,W_Nabellenoffertes__O_SENT_BACK,,18,19
e,,,173715,O_SENT_BACK__W_Validerenaanvraag,,19,20
e,,,173715,W_Validerenaanvraag__W_Nabellenoffertes,,20,21
,,,,,,,
XP,,,,,,,
v,2011-10-0110:37:38.000000000+00:00,No_resource,173718,START,2011-10-0110:37:38.000000000+00:00,1,
v,2011-10-0110:37:38.000000000+00:00,112,173718,A_SUBMITTED,2011-10-0110:37:39.000000000+00:00,2,
v,2011-10-0110:37:39.000000000+00:00,112,173718,A_PARTLYSUBMITTED,2011-10-0110:37:39.000000000+00:00,3,
v,2011-10-0110:37:39.000000000+00:00,112,173718,A_PREACCEPTED,2011-10-0110:38:20.000000000+00:00,4,
v,2011-10-0110:38:20.000000000+00:00,112,173718,W_Completerenaanvraag,2011-10-0110:38:21.000000000+00:00,5,
v,2011-10-0110:38:21.000000000+00:00,No_resource,173718,W_Completerenaanvraag,2011-10-0110:38:48.000000000+00:00,6,
v,2011-10-0110:38:48.000000000+00:00,10862,173718,A_ACCEPTED,2011-10-0110:42:21.000000000+00:00,7,
v,2011-10-0110:42:21.000000000+00:00,10862,173718,A_FINALIZED,2011-10-0110:46:52.000000000+00:00,8,
v,2011-10-0110:42:21.000000000+00:00,10862,173718,O_SELECTED,2011-10-0110:44:40.000000000+00:00,9,
v,2011-10-0110:44:40.000000000+00:00,10862,173718,O_CREATED,2011-10-0110:44:42.000000000+00:00,10,
v,2011-10-0110:44:42.000000000+00:00,10862,173718,O_SENT,2011-10-0110:44:42.000000000+00:00,11,
v,2011-10-0110:44:42.000000000+00:00,No_resource,173718,W_Nabellenoffertes,2011-10-0110:44:42.000000000+00:00,12,
v,2011-10-0110:44:42.000000000+00:00,No_resource,173718,W_Completerenaanvraag,2011-10-0110:44:43.000000000+00:00,13,
v,2011-10-0110:44:43.000000000+00:00,No_resource,173718,W_Nabellenoffertes,2011-10-0110:44:54.000000000+00:00,14,
v,2011-10-0110:44:54.000000000+00:00,No_resource,173718,W_Nabellenoffertes,2011-10-0110:44:58.000000000+00:00,15,
v,2011-10-0110:44:58.000000000+00:00,No_resource,173718,W_Nabellenoffertes,2011-10-0110:45:27.000000000+00:00,16,
v,2011-10-0110:45:27.000000000+00:00,10862,173718,O_SELECTED,2011-10-0110:46:52.000000000+00:00,17,
v,2011-10-0110:46:52.000000000+00:00,10862,173718,O_CANCELLED,2011-10-0110:46:52.000000000+00:00,18,
v,2011-10-0110:46:52.000000000+00:00,10862,173718,O_CREATED,2011-10-0110:46:54.000000000+00:00,19,
v,2011-10-0110:46:54.000000000+00:00,10862,173718,O_SENT,2011-10-0110:46:54.000000000+00:00,20,
v,2011-10-0110:46:54.000000000+00:00,No_resource,173718,W_Nabellenoffertes,2011-10-0110:46:54.000000000+00:00,21,
e,,,173718,START__A_SUBMITTED,,1,2
e,,,173718,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
e,,,173718,A_PARTLYSUBMITTED__A_PREACCEPTED,,3,4
e,,,173718,A_PREACCEPTED__W_Completerenaanvraag,,4,5
e,,,173718,W_Completerenaanvraag__W_Completerenaanvraag,,5,6
e,,,173718,W_Completerenaanvraag__A_ACCEPTED,,6,7
e,,,173718,A_ACCEPTED__A_FINALIZED,,7,8
e,,,173718,A_ACCEPTED__O_SELECTED,,7,9
e,,,173718,A_FINALIZED__O_CANCELLED,,8,18
e,,,173718,O_SELECTED__O_CREATED,,9,10
e,,,173718,O_CREATED__O_SENT,,10,11
e,,,173718,O_SENT__W_Nabellenoffertes,,11,12
e,,,173718,W_Nabellenoffertes__W_Completerenaanvraag,,12,13
e,,,173718,W_Completerenaanvraag__W_Nabellenoffertes,,13,14
e,,,173718,W_Nabellenoffertes__W_Nabellenoffertes,,14,15
e,,,173718,W_Nabellenoffertes__W_Nabellenoffertes,,15,16
e,,,173718,W_Nabellenoffertes__O_SELECTED,,16,17
e,,,173718,O_SELECTED__O_CANCELLED,,17,18
e,,,173718,O_CANCELLED__O_CREATED,,18,19
e,,,173718,O_CREATED__O_SENT,,19,20
e,,,173718,O_SENT__W_Nabellenoffertes,,20,21
,,,,,,,
XP,,,,,,,
v,2011-10-0111:07:33.000000000+00:00,No_resource,173721,START,2011-10-0111:07:33.000000000+00:00,1,
v,2011-10-0111:07:33.000000000+00:00,112,173721,A_SUBMITTED,2011-10-0111:07:34.000000000+00:00,2,
v,2011-10-0111:07:34.000000000+00:00,112,173721,A_PARTLYSUBMITTED,2011-10-0111:07:34.000000000+00:00,3,
v,2011-10-0111:07:34.000000000+00:00,112,173721,A_PREACCEPTED,2011-10-0111:08:17.000000000+00:00,4,
v,2011-10-0111:08:17.000000000+00:00,112,173721,W_Completerenaanvraag,2011-10-0111:08:17.000000000+00:00,5,
v,2011-10-0111:08:17.000000000+00:00,10939,173721,W_Completerenaanvraag,2011-10-0111:09:08.000000000+00:00,6,
v,2011-10-0111:09:08.000000000+00:00,10939,173721,A_ACCEPTED,2011-10-0111:18:36.000000000+00:00,7,
v,2011-10-0111:18:36.000000000+00:00,10939,173721,O_SELECTED,2011-10-0111:20:47.000000000+00:00,8,
v,2011-10-0111:18:36.000000000+00:00,10939,173721,A_FINALIZED,2011-10-0111:20:47.000000000+00:00,9,
v,2011-10-0111:20:47.000000000+00:00,10939,173721,O_CREATED,2011-10-0111:20:49.000000000+00:00,10,
v,2011-10-0111:20:49.000000000+00:00,10939,173721,O_SENT,2011-10-0111:20:49.000000000+00:00,11,
v,2011-10-0111:20:49.000000000+00:00,10939,173721,W_Nabellenoffertes,2011-10-0111:20:49.000000000+00:00,12,
v,2011-10-0111:20:49.000000000+00:00,10939,173721,W_Completerenaanvraag,2011-10-0111:20:50.000000000+00:00,13,
v,2011-10-0111:20:50.000000000+00:00,10939,173721,W_Nabellenoffertes,2011-10-0111:21:20.000000000+00:00,14,
v,2011-10-0111:21:20.000000000+00:00,10939,173721,W_Nabellenoffertes,2011-10-0111:22:52.000000000+00:00,15,
v,2011-10-0111:22:52.000000000+00:00,10939,173721,W_Nabellenoffertes,2011-10-0111:26:32.000000000+00:00,16,
v,2011-10-0111:26:32.000000000+00:00,10939,173721,W_Nabellenoffertes,2011-10-0111:32:54.000000000+00:00,17,
v,2011-10-0111:32:54.000000000+00:00,No_resource,173721,W_Nabellenoffertes,2011-10-0414:44:10.000000000+00:00,18,
v,2011-10-0414:44:10.000000000+00:00,No_resource,173721,W_Nabellenoffertes,2011-10-0414:47:39.000000000+00:00,19,
v,2011-10-0414:47:39.000000000+00:00,No_resource,173721,W_Nabellenoffertes,2011-10-0609:49:01.000000000+00:00,20,
v,2011-10-0609:49:01.000000000+00:00,11029,173721,O_SENT_BACK,2011-10-0609:49:46.000000000+00:00,21,
e,,,173721,START__A_SUBMITTED,,1,2
e,,,173721,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
e,,,173721,A_PARTLYSUBMITTED__A_PREACCEPTED,,3,4
e,,,173721,A_PREACCEPTED__W_Completerenaanvraag,,4,5
e,,,173721,W_Completerenaanvraag__W_Completerenaanvraag,,5,6
e,,,173721,W_Completerenaanvraag__A_ACCEPTED,,6,7
e,,,173721,A_ACCEPTED__O_SELECTED,,7,8
e,,,173721,A_ACCEPTED__A_FINALIZED,,7,9
e,,,173721,O_SELECTED__O_CREATED,,8,10
e,,,173721,A_FINALIZED__O_CREATED,,9,10
e,,,173721,O_CREATED__O_SENT,,10,11
e,,,173721,O_SENT__W_Nabellenoffertes,,11,12
e,,,173721,W_Nabellenoffertes__W_Completerenaanvraag,,12,13
e,,,173721,W_Completerenaanvraag__W_Nabellenoffertes,,13,14
e,,,173721,W_Nabellenoffertes__W_Nabellenoffertes,,14,15
e,,,173721,W_Nabellenoffertes__W_Nabellenoffertes,,15,16
e,,,173721,W_Nabellenoffertes__W_Nabellenoffertes,,16,17
e,,,173721,W_Nabellenoffertes__W_Nabellenoffertes,,17,18
e,,,173721,W_Nabellenoffertes__W_Nabellenoffertes,,18,19
e,,,173721,W_Nabellenoffertes__W_Nabellenoffertes,,19,20
e,,,173721,W_Nabellenoffertes__O_SENT_BACK,,20,21
,,,,,,,
XP,,,,,,,
v,2011-10-0111:52:13.000000000+00:00,No_resource,173724,START,2011-10-0111:52:13.000000000+00:00,1,
v,2011-10-0111:52:13.000000000+00:00,112,173724,A_SUBMITTED,2011-10-0111:52:14.000000000+00:00,2,
v,2011-10-0111:52:14.000000000+00:00,112,173724,A_PARTLYSUBMITTED,2011-10-0111:52:14.000000000+00:00,3,
v,2011-10-0111:52:14.000000000+00:00,112,173724,W_Afhandelenleads,2011-10-0111:53:00.000000000+00:00,4,
v,2011-10-0111:53:00.000000000+00:00,10912,173724,W_Afhandelenleads,2011-10-0112:04:34.000000000+00:00,5,
v,2011-10-0112:04:34.000000000+00:00,10912,173724,W_Afhandelenleads,2011-10-0112:12:27.000000000+00:00,6,
v,2011-10-0112:12:27.000000000+00:00,10939,173724,W_Afhandelenleads,2011-10-0112:19:56.000000000+00:00,7,
v,2011-10-0112:19:56.000000000+00:00,10939,173724,A_PREACCEPTED,2011-10-0112:20:54.000000000+00:00,8,
v,2011-10-0112:20:54.000000000+00:00,10939,173724,W_Completerenaanvraag,2011-10-0112:20:54.000000000+00:00,9,
v,2011-10-0112:20:54.000000000+00:00,10939,173724,W_Afhandelenleads,2011-10-0112:20:55.000000000+00:00,10,
v,2011-10-0112:20:55.000000000+00:00,10912,173724,W_Completerenaanvraag,2011-10-0113:24:12.000000000+00:00,11,
v,2011-10-0113:24:12.000000000+00:00,10912,173724,W_Completerenaanvraag,2011-10-0113:27:08.000000000+00:00,12,
v,2011-10-0113:27:08.000000000+00:00,No_resource,173724,W_Completerenaanvraag,2011-10-0114:01:52.000000000+00:00,13,
v,2011-10-0114:01:52.000000000+00:00,No_resource,173724,W_Completerenaanvraag,2011-10-0114:02:01.000000000+00:00,14,
v,2011-10-0114:02:01.000000000+00:00,11000,173724,W_Completerenaanvraag,2011-10-0115:12:31.000000000+00:00,15,
v,2011-10-0115:12:31.000000000+00:00,11000,173724,W_Completerenaanvraag,2011-10-0115:15:17.000000000+00:00,16,
v,2011-10-0115:15:17.000000000+00:00,No_resource,173724,W_Completerenaanvraag,2011-10-0311:31:38.000000000+00:00,17,
v,2011-10-0311:31:38.000000000+00:00,No_resource,173724,W_Completerenaanvraag,2011-10-0311:33:42.000000000+00:00,18,
v,2011-10-0311:33:42.000000000+00:00,11201,173724,W_Completerenaanvraag,2011-10-0315:37:41.000000000+00:00,19,
v,2011-10-0315:37:41.000000000+00:00,11201,173724,A_DECLINED,2011-10-0315:48:17.000000000+00:00,20,
v,2011-10-0315:48:17.000000000+00:00,11201,173724,W_Completerenaanvraag,2011-10-0315:48:20.000000000+00:00,21,
e,,,173724,START__A_SUBMITTED,,1,2
e,,,173724,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
e,,,173724,A_PARTLYSUBMITTED__W_Afhandelenleads,,3,4
e,,,173724,W_Afhandelenleads__W_Afhandelenleads,,4,5
e,,,173724,W_Afhandelenleads__W_Afhandelenleads,,5,6
e,,,173724,W_Afhandelenleads__W_Afhandelenleads,,6,7
e,,,173724,W_Afhandelenleads__A_PREACCEPTED,,7,8
e,,,173724,A_PREACCEPTED__W_Completerenaanvraag,,8,9
e,,,173724,W_Completerenaanvraag__W_Afhandelenleads,,9,10
e,,,173724,W_Afhandelenleads__W_Completerenaanvraag,,10,11
e,,,173724,W_Completerenaanvraag__W_Completerenaanvraag,,11,12
e,,,173724,W_Completerenaanvraag__W_Completerenaanvraag,,12,13
e,,,173724,W_Completerenaanvraag__W_Completerenaanvraag,,13,14
e,,,173724,W_Completerenaanvraag__W_Completerenaanvraag,,14,15
e,,,173724,W_Completerenaanvraag__W_Completerenaanvraag,,15,16
e,,,173724,W_Completerenaanvraag__W_Completerenaanvraag,,16,17
e,,,173724,W_Completerenaanvraag__W_Completerenaanvraag,,17,18
e,,,173724,W_Completerenaanvraag__W_Completerenaanvraag,,18,19
e,,,173724,W_Completerenaanvraag__A_DECLINED,,19,20
e,,,173724,A_DECLINED__W_Completerenaanvraag,,20,21
,,,,,,,
XP,,,,,,,
